z,,,,,,,,,,,,Απογράφων/ ουσα/ οντες,,,,
Item #,Description / Value,Link,Distributor,ΤΟΠΟΘΕΣΙΑ,Για Παραγγελια,stock,,,,29/09/2025 Γρηγορης & Βετερανος,,,,,,
58,Συναργεμικες,https://www.kafkas.gr/ktiriakos-exoplismos/systimata-asfaleias-pyranichnefsi/synagermos/systimata-synagermou-ensyrmata/epafes-ensyrmates/eaton-magnitiki-epafi-synagermou-lefko_207618/,KAFKAS,,-,70,17/11/25,,,,,,,,,
59,Μονωτικες,,KAFKAS,ΕΞΩ Γ,-,62,22/12/25,,,,,,,,,.
60,Tie wraps ( λευκα / μαυρα) ,,KAFKAS,ΕΞΩ Γ,,16 ΛΕΥΚΑ / 13 ΜΑΥΡΑ,22/12/25,,,,,,,,,
61,,,GLOBOSTAR,,-,,,,,,,,,,,
62,Καναλια Ledtape για Mini Golf,https://www.electronio.gr/profil-alouminiou-led-isio-2m-12.9mm-02290-073.html,ELECTRONIO,,-,48+20 καπάκια,24/11/25,,,,,,,,,
63,Δισκοι για τροχακι,,KAYKAS,,-,10,12/2/25,,,,,,,,,
64,επαγωγικα,,,ΓΡΑΦΕΙΟ,,20/15 mona,24/11/25,,,, ,,,,,
65,magnetic lock,,,,-,450,7/11/25,,,,,,,,,
66,Arcade Btns(Directions),,,,,"R 9,G 16,B 5,Y 4, W 15",21/10/25,,,,,,,,,
67,spdt (καινούργια),,,,-,95,7/11/25,,,,,,,,,
68,Solenoid,,,ΓΡΑΦΕΙΟ,-,45,24/11/25,,,,,,,,,
69,Επαφες ηλεκ ρευματος για πορτα ΕΞΟΡΚΙΣΤΗ,https://www.skroutz.gr/s/27178970/Cisa-Ilektriko-Kypri-Kleidarias-se-Mayro-CHroma-06510-10.html,CISA,,,0,24/11/25,,,,,,,,,
70,Πρασινες Κλεμμες,,,ΓΡΑΦΕΙΟ,,2600,24/11/25,,,,,,,,,
71,Πολυμπριζα,,,ΕΞΩ Ε,,71,12/2/25,,,,,,,,,
